,R_AAA,R_ABE,R_ADO,R_AED,R_AEI,R_AGB,R_AGS,R_AHN,R_AIQ,R_AJI,R_AJY,R_AKC,R_AKF,R_AKQ,R_ALR,R_AMJ,R_AMZ,R_ANQ,R_ANT,R_APE,R_APY,R_AQI,R_AQK,R_ASN,R_ATG,R_AUD,R_AUF,R_AUK,R_AVI,R_AVP,R_AVR,R_AXN,R_AYM,R_AZX,R_BAF,R_BAH,R_BAN,R_BBG,R_BBU,R_BDL,R_BDR,R_BFS,R_BHA,R_BHI,R_BHP,R_BIF,R_BKQ,R_BKY,R_BLB,R_BLD
R_BAF,0.3890712850055689,0.1519895221278419,0.3074808206329405,0.28360937466996455,0.48831217667876087,0.23955914264364975,0.21349347922819364,0.4950266570350882,0.33674530197808583,0.5675481427226301,0.14833865967731913,0.19691925753970663,0.22993362759354816,0.17368943600586917,0.5555335972467658,0.3745624498771577,0.3867793642044523,0.6684001038542124,0.38285011238248184,0.6432019049068641,0.2974172380805648,0.25329751552471647,0.43685982690775604,0.29223757519803667,0.4375958006211501,0.5860546976167135,0.3883006693755491,0.37667339617175344,0.29889247203568725,0.2822140474236592,0.5213844791592088,0.516392222285644,0.5081890903137021,0.7059300150974726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BAH,0.47181715359778226,0.3590213182741303,0.20989768430575473,0.24969671635219443,0.5350770575448207,0.3184573358626649,0.20266604660882664,0.6863652827295948,0.30399907164466444,0.8203534739870907,0.2750224610416864,0.2533475753398291,0.24969671635220614,0.3457399330604912,0.7699990645595358,0.48853596419590606,0.38086438955562024,0.5180984032014637,0.547958789478688,0.833517208526722,0.3291657182977992,0.2951084676075576,0.4271501328600685,0.4228351530713165,0.3039940639316947,0.4103136390173533,0.386576841493277,0.509977971816225,0.3344104641344345,0.4388025910856622,0.7439724298792938,0.47940725979034393,0.5325867067714852,0.895952434363527,0.3039740365427414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BAN,0.3747065351633464,0.633829406972219,0.9724337199248968,0.9392414673337995,0.9083389826974425,0.8548992671219527,0.6879839054839656,0.5409056070930937,1.03312147140436,0.27866331499216257,0.642996630740742,0.851589868874478,0.6671579801921639,0.7762126379852521,0.42933165141741514,0.6200327707302129,0.7502430421264824,1.412866781198485,0.6137484106023602,0.523909896967128,0.9966405293866382,0.7368256060704991,0.7999718877679334,0.4540852122737881,1.14264986769214,1.5049484735089373,0.9488647545670331,0.4392852488332138,0.602182775776696,0.8089201732708218,0.3760742933194262,1.2899094035857495,0.6607803953286093,0.5341095028724319,0.6792098798278007,1.087590155966993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBG,0.24519689695450014,0.18820777892789367,0.42047624436499015,0.3926090301349708,0.4638228244895305,0.31484152047712904,0.22511089038867396,0.3160709176345688,0.49341775232211466,0.39994376972711027,0.17731026256730473,0.34775185655983537,0.21064261074471727,0.23160761014679185,0.37942769327204534,0.309129775010072,0.28832365223230166,0.7016562459586453,0.266840570807941,0.45509455478958066,0.3204292080469924,0.24244004701623134,0.3526784708902519,0.21714433821579568,0.5929859551096829,0.7131780420263638,0.42830308744927137,0.2806401879635895,0.15198451787780565,0.32281307690007344,0.36085411634814024,0.6359021687095976,0.2888896746579403,0.5097146967271637,0.24158107464312173,0.4083517822590257,0.49721298549146153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBU,0.5695649096865538,0.4072538986609463,0.42436048569126666,0.4480717439439765,0.7333757618694559,0.3902081841872166,0.30666580352695355,0.6385130058092611,0.5273769330446487,0.6927761740349991,0.3472398013643379,0.4013985790029321,0.31752327203540887,0.24683083165564113,0.7319894351272338,0.47585041588502613,0.48060813816517034,0.7951826884911526,0.5973609846862312,0.8135810588358933,0.437276962644313,0.3119606161045958,0.5263171371474188,0.2460258265127038,0.5981921923615118,0.7262417955447417,0.5728276768757549,0.5336039771902467,0.33648135911402965,0.3095266805105129,0.7592484240063893,0.6585757916736091,0.6583775535270877,0.8811826835363097,0.2721515686321878,0.3982542633284472,0.8666224481725544,0.38725801015114647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BDL,0.6777155297862306,0.6023647010866687,0.2599223695473836,0.3880910195396057,0.2765573729475982,0.49672140020479144,0.4270568242484341,0.7598873287066593,0.33353146783527154,0.894097651292017,0.47184763546968533,0.34373802844996176,0.48230296242689036,0.6009221332968704,0.7525959052977323,0.5980729142976333,0.3083848485711177,0.24247008636822118,0.3869543197422067,0.8032916474881221,0.47032280355622996,0.5047791838598469,0.35740240324898803,0.6662031282978047,0.4512695976343869,0.2958183504443802,0.11578127729082735,0.7256452197548561,0.3666259370563037,0.6947857383037073,0.7032019010889823,0.27537041048788735,0.6850509771252592,0.8358998110483363,0.46192337439824865,0.3769262913411943,1.0715434867730051,0.4722174252757776,0.5926100900157425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BDR,0.4234202715403542,0.5759009650844207,0.7229940975741355,0.7746292457208873,0.3489393231889176,0.6559689843891584,0.5556349146085175,0.33667027509029995,0.8093133104922625,0.595142622208731,0.520221659488512,0.6557819889863363,0.58049927668506,0.7219108979348273,0.3645839776678408,0.469234007501409,0.37215362087735576,0.8506202130884027,0.2118495291010592,0.31953018782172576,0.5886511310296955,0.6209951351523931,0.2930965475710762,0.5815526283845327,0.915641715895781,0.9379960987807328,0.520735393121973,0.5206180613654738,0.36662437419536453,0.8838245930271261,0.2879701199573184,0.7921325276092299,0.3495239374885859,0.3530066143594936,0.637678636302806,0.7321658871824399,0.7478876341712875,0.4764379695055099,0.7783752888672839,0.5889443696545978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BFS,0.717501022357191,0.6237379070104037,0.2700306103745915,0.14109701001736413,0.6637509833011241,0.6271998564016444,0.41428248305445015,0.9365820086275638,0.2700456300506056,0.9579336267618744,0.4858376644725417,0.3418136667058566,0.4462240046121348,0.5368328990384366,0.9017705175431935,0.7938115362808652,0.5539289320969978,0.5368203559110849,0.6365922536206371,1.0401944059785972,0.6599306270221212,0.5345928905965973,0.6612751960464831,0.6018523347260767,0.2062468183923496,0.4689098526314255,0.4599739550717419,0.8094855061486419,0.5053277097066688,0.4129166846108332,0.8313437692870776,0.5564485187733704,0.936095508978526,1.0511892303969794,0.3083598169321336,0.43803834372832245,0.9995047452326029,0.48857643134750445,0.5706022040313159,0.4952896589539055,0.9344600265890184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BHA,0.28225409527572853,0.2171042869007569,0.7774766594453477,0.8524898596974732,0.6202653655084415,0.4450810619859434,0.38630892664780836,0.2954119302244988,0.9219618152941255,0.4813043264989677,0.282244083312682,0.4856600675363039,0.35176966011402894,0.38718291523401804,0.3276408218178442,0.3553354122214722,0.46701988708895587,1.086778268421008,0.3329156035435915,0.38869780321381503,0.3546405525235382,0.41251366763649894,0.44965568685931895,0.44856281097421347,1.0068062676856797,1.0872838033076895,0.7846732570031145,0.2625260501191204,0.3510147182491222,0.6354998778961269,0.43484946973220984,0.8631682769481783,0.2793781986161271,0.5301527746403399,0.42410104290787337,0.5116516683032639,0.8567639900534625,0.28587992955016334,0.6645793375517312,0.8452627282193887,0.5611226970342157,1.0988048706417335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BHI,0.7906944015008254,0.6070200527026361,0.3264188803226041,0.29026069876369276,0.8149937075685019,0.5860250139485399,0.38726802211416556,1.0518119973928803,0.3762114042543479,1.1336403366895627,0.48164727169515814,0.36459899734391515,0.42378916933237465,0.5386864495369249,1.1638473961530933,0.8472720944238654,0.7380862047552782,0.7351647775713922,0.9457948754472697,1.2476019810807943,0.5583088458016838,0.47972045507593947,0.791115171739384,0.6554865331385489,0.33357645537103825,0.5496320690243556,0.5504128985644601,0.8133890869511965,0.7026513508061631,0.42347125923819473,1.1478915412151294,0.6537860956070389,0.945218413266897,1.3048053562409636,0.3546755961256495,0.30394900836664135,1.454265843454281,0.7117522427510122,0.5266120507090393,0.6376976178357969,1.1585851630065145,0.2685557771727086,0.9754144039896516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BHP,0.5491909344155876,0.43385072024122256,0.38707888818873476,0.33217495631926625,0.674696427510687,0.3901876526288698,0.2806001366485515,0.7056868106942108,0.37861530049640274,0.6779236297049355,0.31191054936362106,0.27856818922317655,0.2987042590670577,0.3464948749254124,0.7185875202662036,0.5296209359636354,0.6011263649869194,0.8151431613914006,0.5796956844833498,0.8422546315140844,0.4415733500131802,0.27171954803734083,0.6279132549469525,0.3929239680917886,0.46200880965725094,0.6484562663961556,0.6012873678489323,0.5535853138268081,0.46717241801440945,0.11942212777836757,0.6942928809316264,0.6498366439807165,0.7376852744900668,0.8670088011598773,0.2648798830831569,0.4318888634828619,0.754241809446979,0.3358656672377206,0.34147247781982554,0.636581393812895,0.8233827811871988,0.37408493119737257,0.7962809132364405,0.39952125346301925,0.0,0.0,0.0,0.0,0.0,0.0
R_BIF,0.34219340488831157,0.23236255201168443,0.36344214226557847,0.3892048541592985,0.43471540333488956,0.3014310696532849,0.1990051721952336,0.4172774333611365,0.48903727546706965,0.5081231857329016,0.19617433110073584,0.3021860080552555,0.19537934138372487,0.22068005443419714,0.48000332503092313,0.3609881862083463,0.17004358126824903,0.6495054049632898,0.2837439516165121,0.5305349676978581,0.25332254370079166,0.23461664878399424,0.2661068288284223,0.29672237838261195,0.5431034819562603,0.6578148988693483,0.3510397533510844,0.34257413008314475,0.06876562722346158,0.42042013764247976,0.45841171394985586,0.5710589639066843,0.3431078838465248,0.6130573908296583,0.2596301295334821,0.2958483863334885,0.7045641315278464,0.18817774303881002,0.35096465843399793,0.4031170483853997,0.46576973306416575,0.5182424919506147,0.33487746030193605,0.5662132582229343,0.43745088097250284,0.0,0.0,0.0,0.0,0.0
R_BKQ,0.4106093332812979,0.2845439490465688,0.34925672911372857,0.3276808731329235,0.5725588626258166,0.34452801045406145,0.02170492159096682,0.46344412301848265,0.4330909735104434,0.5879764196868589,0.21578332607316303,0.28586991412423624,0.06511476477290046,0.25688829927123297,0.5743856017736507,0.4160304602268197,0.38424193215740576,0.6943737350491191,0.4212614756918684,0.653964511653918,0.36761804794409464,0.11941211581533245,0.44365496342629357,0.29220253159595805,0.48508801016093717,0.639570839570352,0.45736409810767603,0.4225321911608455,0.3066708112398994,0.24607588979077413,0.5523908667512307,0.6041368505908046,0.46709758710484267,0.713348508164999,0.23596835889714773,0.23598337511023798,0.7372170683515522,0.27159485516190857,0.33922318591341083,0.47048481931527625,0.6231915009703188,0.42975882460775083,0.43365686804418563,0.39088384096264345,0.28784178630852925,0.24680079230364196,0.0,0.0,0.0,0.0
R_BKY,0.42809360804390567,0.3112206939156868,0.12663874579928583,0.14112704936932197,0.414358294107309,0.26416499253323744,0.19542940466181152,0.5373141148911282,0.217124314289734,0.657133441249641,0.25530943556110053,0.18094610534182903,0.22437597591276567,0.30476402200970326,0.5799595119651282,0.39810045898357727,0.31060390174132557,0.41467946351006923,0.3536174778640317,0.6585755011021567,0.3026180321130092,0.27372646036082865,0.3369228645424519,0.4166107738300384,0.2678008353077902,0.34224562273411346,0.2664097872759927,0.44646710585535904,0.2741134288534195,0.3388112607369844,0.5577833830215391,0.3735096253070696,0.5276592360507534,0.7116417649193768,0.21427344580628577,0.13752124248388592,0.7979573724088792,0.30701375297311045,0.328425796108959,0.28373393965347526,0.567170299392041,0.28694777379627767,0.49412365522868773,0.3148064734121727,0.32705477200327837,0.2794132456811321,0.2295116835282454,0.0,0.0,0.0
R_BLB,0.4763574668304234,0.2641750079591937,0.21351850740429262,0.24081612427809782,0.4771122518497499,0.2532975155246472,0.2009770409166211,0.588777360343208,0.2533075274876933,0.679133645032642,0.19539936530977162,0.11580130121690502,0.20625182610528348,0.24078608492610126,0.643279504158631,0.39081375375846095,0.34590311439005156,0.5685311165933272,0.42869576319961933,0.7172656524962601,0.1990151841582502,0.2560193183979866,0.359144448288647,0.3306450486633639,0.3523950258194431,0.45166196420451776,0.35314046280766054,0.4237591299803479,0.28301404485358705,0.3705586302675284,0.6096653007449098,0.4408992276376559,0.548472462269732,0.786993522404732,0.1845318848383214,0.2335744746181037,0.8746635161378986,0.32238606055527763,0.3244912706384764,0.39155367594733775,0.636062312475699,0.4315866115058843,0.42972377407978046,0.38214640282920753,0.3105745688599935,0.23234753233565658,0.23715024215155633,0.17368443175577503,0.0,0.0
R_BLD,0.3941924805773007,0.38779260277921934,0.377402137364068,0.40528713809380235,0.2677958310577163,0.39020697008424615,0.32426788271292417,0.4449265654992446,0.45704525702205506,0.5970470793116537,0.3296762071694862,0.3872570822684635,0.3555136097641915,0.4451891688616002,0.42521146462360543,0.35407382362729206,0.02170492159096682,0.5112947391626761,0.18892767719068743,0.454394706923509,0.3601531417133474,0.3737052714574859,0.16646280948477507,0.47593635925648947,0.549307468621137,0.5795683420424902,0.21352351511725987,0.47183819224255236,0.10491379681933412,0.6312109065778322,0.4055414692600014,0.4889039341052701,0.3836221639136741,0.5156041855871806,0.387534302606427,0.37001192876013683,0.7464810538307655,0.2973077407593913,0.47773223804265874,0.28304908845566457,0.3525546378680047,0.5246063942935173,0.4670098751259176,0.7315994934972709,0.5886154684435508,0.1736594001167223,0.38061109363292106,0.29403969547879144,0.3464398039342735,0.0
