,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_AWX,18.692134442134442,19.051108801108803,1.545080111415684,17.867414117414118,17.859469359469358,17.778388278388277,17.29190179190179,17.508118008118007,18.556603306603307,17.778388278388277,18.305737055737055,17.508118008118007,19.051108801108803,18.88894663894664,58.13179388179388,29.58184833184833,68.13444213444214,3.6846351846351846,1.7273042273042272,10.612062485318297,10.415593242842991,13.19087219087219,13.19087219087219,20.463735177865612,20.039997804128237,20.137977602108037,4.5478665478665485,1.008157383705745,9.587044047555727,32.42653369054048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AXF,13.286552920763446,13.457981492192019,1.8395920898625902,11.457085020242914,12.068768074031231,11.884557547715442,11.568768074031231,11.726662810873338,11.87437825332562,11.884557547715442,11.913475997686524,11.726662810873338,13.457981492192019,13.221139386928861,73.23412377096588,38.162203585887795,102.7188355504145,36.416281087333715,12.955320994794679,35.46975569649988,35.1371817262616,22.356506651243492,22.356506651243492,13.78290513833992,13.491996047430831,13.58189503732982,37.40367264314633,2.9866178190518196,33.667470121354555,19.874363327674022,34.54038943512627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AYP,8.478632478632479,8.376068376068377,0.5863553549521343,10.153846153846153,9.795093795093795,10.157731157731158,9.85003885003885,9.85003885003885,10.82905982905983,10.157731157731158,10.318070818070819,9.85003885003885,8.376068376068377,8.376068376068377,74.49631431519975,113.87832167832168,42.7913686566438,46.64404223227753,24.58119658119658,15.459754521963823,15.288627171615039,7.195454545454545,7.195454545454545,13.047233201581028,12.808344312692139,12.861374615722442,24.302161419290353,1.207282953869799,16.03893214682981,4.415409967042844,14.72968022968023,8.767235396182764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AZM,7.69017094017094,7.606837606837607,0.55562681569691,10.141025641025642,9.795093795093795,10.157731157731158,10.171717171717171,9.997474747474747,10.675213675213676,10.157731157731158,10.318070818070819,9.997474747474747,7.606837606837607,7.702991452991453,68.32293970219666,112.01818181818183,39.604271882450256,44.32730015082956,26.683333333333334,14.259754521963824,14.08206151504938,6.462121212121213,6.462121212121213,12.128402032749857,11.914909969257796,11.967940272288098,23.033483258370815,1.1433670383447592,15.212895280470363,4.104264456206931,13.877289377289378,8.334904569115096,0.26495726495726496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AZU,7.92094017094017,7.837606837606837,0.5684063684125649,10.0,9.795093795093795,10.157731157731158,9.85003885003885,9.85003885003885,10.675213675213676,10.157731157731158,10.246642246642246,9.85003885003885,7.837606837606837,7.837606837606837,72.84925549167035,111.60559440559442,41.86233639857929,45.797888386123674,25.275641025641026,15.081976744186047,14.904283737271603,6.712121212121213,6.712121212121213,12.832947487295314,12.603798858146684,12.656829161176987,23.658483258370815,1.1844981437432167,15.748609566184651,4.310146809148108,14.444856944856944,8.782272990167728,0.26495726495726496,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BAM,7.94017094017094,7.837606837606838,0.5703809140575656,10.294871794871796,9.795093795093795,10.157731157731158,10.171717171717171,9.997474747474747,10.82905982905983,10.157731157731158,10.318070818070819,9.997474747474747,7.837606837606838,7.933760683760684,69.96999852572608,114.2909090909091,40.40427188245025,45.17345399698341,25.988888888888887,14.548643410852712,14.377516060503927,6.612121212121211,6.612121212121211,12.342687747035573,12.11945542380325,12.172485726833553,23.34382808595702,1.1661518484713413,15.503217861115527,4.209527614101668,14.10805860805861,8.477761711972239,0.15384615384615385,0.1111111111111111,0.26495726495726496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BBX,8.017094017094017,7.914529914529915,0.57836813450485,10.294871794871796,9.795093795093795,10.157731157731158,9.997474747474747,9.997474747474747,10.82905982905983,10.157731157731158,10.246642246642246,9.997474747474747,7.914529914529915,8.017094017094017,72.96999852572608,115.85909090909091,41.88814285019219,46.291101055806934,24.97222222222222,15.081976744186047,14.91084939383726,6.6537878787878775,6.6537878787878775,12.819960474308301,12.586122090469917,12.63915239350022,23.63549475262369,1.1995708716075881,15.967503575401242,4.35658643763108,14.45940995940996,8.819866975130132,0.23076923076923078,0.19444444444444442,0.18803418803418803,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BDE,27.40833333333333,27.866666666666664,0.7406793007363002,27.206666666666663,26.176666666666666,26.136666666666667,25.416666666666664,25.656666666666666,28.196666666666665,26.136666666666667,27.655,25.656666666666666,27.866666666666664,27.666666666666664,72.28580086580087,37.85333333333333,59.64022770398481,1.43,0.34166666666666673,4.208838383838383,4.185099478097455,21.185454545454547,21.185454545454547,21.791426689252777,21.30491875274484,21.476635924462013,5.108063660477454,0.5547667205734433,7.373430796122675,27.192000399480676,6.587615087615087,33.984355118565645,26.61,25.35333333333333,25.87333333333333,25.77,26.009999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BES,27.52173913043478,28.0,0.7308851353353678,27.431159420289855,26.2786231884058,26.236956521739128,25.486956521739128,25.736956521739128,28.43949275362319,26.236956521739128,27.874275362318837,25.736956521739128,28.0,27.791666666666664,74.11942405420666,38.94565217391304,60.07356103731815,1.5043478260869565,0.3952898550724638,4.208838383838383,4.185099478097455,21.199077733860342,21.199077733860342,21.45701110483719,20.986231884057972,21.157949055775145,4.99524756852343,0.5497424779519863,7.312370888288574,26.823579346849098,6.294475794475795,33.481347599768654,26.740942028985508,25.474637681159418,26.016304347826086,25.865942028985508,26.115942028985508,0.08166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_BHH,6.34,6.58,0.8009253848243658,6.119999999999999,5.6,5.68,5.44,5.48,6.48,5.68,6.120000000000001,5.48,6.58,6.539999999999999,95.55549783549783,57.60000000000001,64.49777161484943,26.099999999999998,10.54,16.696206248531833,16.36982770066693,6.85,6.85,18.018633540372672,17.654852876592006,17.800812472551602,25.79509937339023,1.5045216806305737,20.012672811059907,12.870018975332068,17.81957231957232,16.43533834586466,5.279999999999999,4.76,4.96,4.84,4.88,25.64,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
