,R_ADD,R_AHO,R_AIG,R_AKD,R_ALT,R_AMN,R_AOC,R_AQE,R_ARN,R_ASY,R_AYH,R_BBF,R_BBV,R_BDH,R_BEU,R_BMW,R_BYR,R_CAB,R_CAM,R_CBX,R_CEE,R_CGI,R_CHI,R_CHP,R_CIV,R_CKB,R_CLV,R_CNY,R_CQD,R_CSZ,R_CUE,R_CWH,R_DBF,R_DEE,R_DFC,R_DGB,R_DHT,R_DIU,R_DKC,R_DLA,R_DLC,R_DPC,R_DQL,R_DQU,R_DTF,R_DTW,R_DVP,R_DYR,R_DZN,R_EBY
R_AYH,4.583333333333333,2.2063492063492065,4.666666666666667,1.1150793650793651,5.066666666666666,3.0,2.3555555555555556,3.533333333333333,3.1603174603174597,2.5333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBF,4.9904761904761905,2.8035714285714284,3.4603174603174605,1.8476190476190475,6.761904761904762,4.444444444444445,4.095238095238096,3.4571428571428573,4.291666666666667,3.3476190476190477,0.6984126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBV,2.9047619047619047,3.113095238095238,5.916666666666667,1.9285714285714286,5.2666666666666675,3.9444444444444446,4.666666666666667,3.333333333333333,2.954761904761905,3.866666666666667,1.8888888888888888,2.3857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BDH,7.652380952380952,7.916666666666666,10.75,6.452380952380952,0.7333333333333334,2.4666666666666663,4.2,4.35,5.408333333333333,9.366666666666665,6.277777777777778,6.342857142857143,5.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BEU,6.733333333333333,3.857142857142857,5.5,1.8968253968253967,5.183333333333334,4.2444444444444445,2.483333333333333,3.625,3.8154761904761907,3.3916666666666666,1.3611111111111112,1.4,2.333333333333333,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BMW,1.9285714285714284,4.892857142857143,6.611111111111111,3.6666666666666665,4.633333333333333,5.266666666666667,4.333333333333334,2.05,1.9702380952380951,5.1,3.166666666666667,4.9,2.966666666666667,5.383333333333333,5.425000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BYR,7.392857142857142,7.2440476190476195,8.777777777777779,5.607142857142857,2.533333333333333,1.111111111111111,4.833333333333333,5.166666666666667,4.404761904761904,6.6000000000000005,5.777777777777779,4.761904761904762,4.0,2.8333333333333335,3.7083333333333335,5.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CAB,3.4904761904761905,2.4464285714285716,2.833333333333333,3.246031746031746,8.4,8.6,5.6,7.666666666666666,3.642857142857143,5.1,3.7222222222222223,3.564285714285714,4.583333333333334,10.833333333333334,6.875,5.133333333333333,10.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CAM,3.8914529914529914,2.471153846153846,2.9743589743589745,1.8681318681318682,4.923076923076923,5.001709401709402,2.761538461538462,2.8311965811965814,4.088522588522588,3.0974358974358975,1.6153846153846154,2.692307692307692,2.8034188034188037,4.985042735042735,2.7756410256410255,3.463675213675214,5.401709401709402,2.170940170940171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CBX,2.5238095238095237,7.970238095238095,11.666666666666666,6.936507936507937,8.571428571428571,7.563492063492063,11.014285714285712,7.357142857142858,3.914285714285714,7.3999999999999995,6.75,7.942857142857143,4.607142857142857,9.0,7.053571428571429,2.942857142857143,7.940476190476191,6.071428571428571,7.094017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
